data;valor
12/08/2026;13,90
13/08/2026;13,90
14/08/2026;13,90
17/08/2026;13,90
18/08/2026;13,90
19/08/2026;13,90
20/08/2026;13,90
21/08/2026;13,90
24/08/2026;13,90
25/08/2026;13,90
26/08/2026;13,90
27/08/2026;13,90
28/08/2026;13,90
31/08/2026;13,90
01/09/2026;13,90
02/09/2026;13,90
03/09/2026;13,90
04/09/2026;13,90
08/09/2026;13,90
09/09/2026;13,90
10/09/2026;13,90
11/09/2026;13,90
14/09/2026;13,90
15/09/2026;13,90
16/09/2026;13,90
17/09/2026;13,65
18/09/2026;13,65
21/09/2026;13,65
22/09/2026;13,65
23/09/2026;13,65
